@relation BOOKKEEPER
@attribute Size numeric
@attribute LocTouched numeric
@attribute LocAdded numeric
@attribute MaxLocAdded numeric
@attribute AvgLocAdded numeric
@attribute nAuth numeric
@attribute nFix numeric
@attribute nR numeric
@attribute ChgSetSize numeric
@attribute Buggy {Si, No}
@data
386,46,37,28,12.33,2,0,3,132,No
157,83,47,22,7.83,3,0,6,168,No
26,47,0,0,0,1,0,1,44,No
26,47,0,0,0,1,0,1,44,No
26,47,0,0,0,1,0,1,44,No
25,46,0,0,0,1,0,1,44,No
129,50,32,21,10.67,2,0,3,140,No
67,53,32,29,16,2,0,2,65,No
306,128,96,77,24,2,0,4,149,No
46,73,69,59,23,2,0,3,131,No
234,26,13,12,6.5,2,0,2,121,No
530,364,288,148,20.57,2,0,14,146,No
378,112,78,39,19.5,3,0,4,124,Si
1014,325,98,52,19.6,2,0,5,129,No
131,27,13,6,4.33,2,0,3,122,No
43,64,64,63,32,1,0,2,52,No
35,56,56,55,28,1,0,2,52,No
130,4,2,1,1,2,0,2,48,No
158,107,60,42,12,3,0,5,39,No
333,707,438,139,36.5,3,0,12,92,No
107,19,9,4,3,2,0,3,48,No
4086,4140,4114,1493,587.71,2,0,7,64,No
16881,18822,14591,4307,1042.21,2,0,14,219,No
561,54,30,10,5,3,0,6,65,Si
1236,1008,682,318,62,3,0,11,115,No
785,863,832,341,92.44,3,0,9,148,No
82,35,31,28,15.5,1,0,2,5,No
602,165,141,49,14.1,3,0,10,123,Si
262,301,292,257,97.33,2,0,3,21,Si
566,31,17,11,5.67,2,0,3,82,Si
110,2,1,1,1,1,0,1,0,No
238,118,105,42,17.5,2,0,6,81,No
568,347,316,140,26.33,3,0,12,91,Si
145,166,166,149,83,1,0,2,31,No
195,269,241,163,60.25,1,0,4,55,No
141,221,190,118,63.33,1,0,3,45,No
78,104,100,96,50,1,0,2,34,No
823,945,893,559,127.57,1,0,7,86,No
509,165,127,40,14.11,3,0,9,95,No
473,14,11,5,3.67,2,0,3,89,No
75,5,5,5,5,1,0,1,24,No
116,188,161,82,40.25,1,0,4,62,No
211,227,0,0,0,1,0,1,24,No
101,38,38,38,38,1,0,1,24,No
60,81,80,75,40,1,0,2,27,No
65,88,86,84,43,2,0,2,101,No
346,481,423,237,70.5,2,0,6,150,No
287,314,310,291,62,2,0,5,132,No
121,21,17,9,5.67,2,0,3,53,No
70,14,12,12,12,1,0,1,24,No
343,246,233,218,58.25,3,0,4,130,No
292,8,5,3,1.67,3,0,3,128,No
198,52,29,17,7.25,2,0,4,139,No
170,7,7,7,7,1,0,1,8,No
