Dataset; #Training; %Training; %DefectTraining; %DefectTesting; Classifier; Balancing; FeatureSelection; TP; FP; TN; FN; Precision; Recall; ROC Area; Kappa
BOOKKEEPER;3;0.7715322;0.29612222;0.12301587;RandomForest;OVERSAMPLING;No;411.0;49.0;13.0;31.0;0.8934782608695652;0.9298642533936652;0.6547584294263611;0.15943962641761197
BOOKKEEPER;3;0.7715322;0.29612222;0.12301587;NaiveBayes;OVERSAMPLING;No;628.0;80.0;13.0;35.0;0.8870056497175142;0.947209653092006;0.6499862145023435;0.10984150387025474
BOOKKEEPER;3;0.7715322;0.29612222;0.12301587;IBK;UNDERSAMPLING;No;202.0;20.0;11.0;19.0;0.9099099099099099;0.9140271493212669;0.6650853889943074;0.272646536412078
BOOKKEEPER;3;0.7715322;0.29612222;0.12301587;RandomForest;UNDERSAMPLING;No;407.0;42.0;20.0;35.0;0.9064587973273942;0.920814479638009;0.6953364472339805;0.25581038582495985
BOOKKEEPER;3;0.7715322;0.29612222;0.12301587;NaiveBayes;UNDERSAMPLING;No;533.0;52.0;41.0;130.0;0.9111111111111111;0.803921568627451;0.6588900241651665;0.179916317991632
BOOKKEEPER;3;0.7715322;0.29612222;0.12301587;IBK;SMOTE;No;213.0;25.0;6.0;8.0;0.8949579831932774;0.9638009049773756;0.6042183622828784;0.20588235294117668
BOOKKEEPER;3;0.7715322;0.29612222;0.12301587;RandomForest;SMOTE;No;427.0;52.0;10.0;15.0;0.8914405010438413;0.9660633484162896;0.6633885564151218;0.17129675076077353
BOOKKEEPER;3;0.7715322;0.29612222;0.12301587;NaiveBayes;SMOTE;No;648.0;83.0;10.0;15.0;0.8864569083447332;0.9773755656108597;0.6281726917400542;0.12382033633718885
BOOKKEEPER;4;0.9018806;0.256573;0.5;IBK;NO SAMPLING;Yes;50.0;20.0;40.0;10.0;0.7142857142857143;0.8333333333333334;0.75;0.5
BOOKKEEPER;4;0.9018806;0.256573;0.5;RandomForest;NO SAMPLING;Yes;107.0;39.0;81.0;13.0;0.7328767123287672;0.8916666666666667;0.7914930555555556;0.5666666666666667
