@relation AVRO
@attribute Size numeric
@attribute LocTouched numeric
@attribute LocAdded numeric
@attribute MaxLocAdded numeric
@attribute AvgLocAdded numeric
@attribute nAuth numeric
@attribute nFix numeric
@attribute nR numeric
@attribute ChgSetSize numeric
@attribute Buggy {Si, No}
@data
35,57,57,46,28.5,1,0,2,20,No
223,253,248,245,82.67,2,0,3,51,No
237,277,265,198,132.5,1,0,2,25,No
120,153,146,94,73,1,0,2,25,No
346,437,406,322,67.67,2,0,6,71,No
56,81,78,45,19.5,1,0,4,38,No
203,250,236,169,59,1,0,4,35,No
418,516,477,399,119.25,1,0,4,34,No
242,266,263,245,87.67,1,0,3,26,No
263,279,279,279,279,1,0,1,13,No
218,6,6,6,6,1,0,1,3,No
138,169,169,169,169,1,0,1,3,No
636,159,120,120,120,1,0,1,3,No
61,1,1,1,1,1,1,1,1,Si
48,5,3,3,3,1,1,1,1,Si
196,75,46,37,15.33,1,0,3,34,No
7,24,24,24,24,1,0,1,26,No
410,18,9,5,3,1,1,3,32,Si
103,9,3,3,1.5,1,1,2,30,Si
124,2,1,1,1,1,0,1,26,No
338,359,359,359,359,1,0,1,7,No
165,183,183,183,183,1,0,1,7,No
32,50,50,50,50,1,0,1,12,No
266,356,331,281,165.5,1,0,2,15,No
16,32,32,32,32,1,0,1,12,No
100,116,116,98,58,2,0,2,15,No
120,96,48,48,48,1,1,1,3,Si
160,138,80,80,80,1,1,1,3,Si
509,39,39,29,19.5,1,1,2,6,Si
4,21,21,21,21,1,0,1,2,No
22,38,38,38,38,1,0,1,6,No
88,104,104,104,104,1,0,1,6,No
60,76,76,76,76,1,0,1,6,No
29,46,46,29,23,2,0,2,3,No
15,15,4,4,4,1,0,1,7,No
