Release; File; Size; LocTouched; LocAdded; MaxLocAdded; AvgLocAdded; Nauth; Nfix; Nr; ChgSetSize; Buggy
2;src/java/org/apache/avro/generic/GenericRequestor.java;40;1;1;1;1;1;0;1;60;No
2;src/java/org/apache/avro/generic/GenericResponder.java;37;1;1;1;1;1;0;1;60;No
2;src/java/org/apache/avro/io/BinaryDecoder.java;271;5;3;2;1.5;1;0;2;62;No
2;src/java/org/apache/avro/io/BinaryEncoder.java;217;5;3;3;3;1;0;1;60;No
2;src/java/org/apache/avro/io/BlockingBinaryEncoder.java;605;10;8;5;4;1;0;2;61;No
2;src/java/org/apache/avro/io/DatumWriter.java;17;1;1;1;1;1;0;1;60;No
2;src/java/org/apache/avro/io/Encoder.java;241;2;1;1;1;1;0;1;60;No
2;src/java/org/apache/avro/ipc/AvroRemoteException.java;23;1;1;1;1;1;0;1;60;No
2;src/java/org/apache/avro/ipc/ByteBufferInputStream.java;69;3;2;2;2;1;0;1;60;No
2;src/java/org/apache/avro/ipc/ByteBufferOutputStream.java;73;10;7;7;7;1;0;1;60;No
2;src/java/org/apache/avro/ipc/Requestor.java;214;59;54;53;27;1;0;2;71;No
2;src/java/org/apache/avro/ipc/Responder.java;204;68;58;40;29;1;0;2;71;No
2;src/java/org/apache/avro/ipc/SocketServer.java;93;3;2;2;2;1;0;1;60;No
2;src/java/org/apache/avro/ipc/SocketTransceiver.java;77;6;4;4;4;1;0;1;60;No
2;src/java/org/apache/avro/ipc/Transceiver.java;25;5;3;3;3;1;0;1;60;No
2;src/java/org/apache/avro/reflect/FixedSize.java;17;13;10;6;5;1;0;2;67;No
2;src/java/org/apache/avro/reflect/ReflectRequestor.java;96;39;34;18;8.5;1;1;4;100;Si
2;src/java/org/apache/avro/reflect/ReflectResponder.java;111;9;7;5;2.33;1;1;3;89;Si
2;src/java/org/apache/avro/specific/ProtocolTask.java;88;5;3;3;3;1;0;1;60;No
2;src/java/org/apache/avro/specific/SchemaTask.java;11;1;1;1;1;1;0;1;60;No
2;src/java/org/apache/avro/specific/SpecificCompiler.java;270;27;23;12;5.75;1;0;4;82;Si
2;src/java/org/apache/avro/specific/SpecificDatumReader.java;30;4;2;1;1;1;0;2;67;No
2;src/java/org/apache/avro/specific/SpecificDatumWriter.java;18;4;2;1;1;1;0;2;67;No
2;src/java/org/apache/avro/specific/SpecificExceptionBase.java;23;3;2;1;1;1;0;2;82;No
2;src/java/org/apache/avro/specific/SpecificFixed.java;11;1;1;1;1;1;0;1;60;No
2;src/java/org/apache/avro/specific/SpecificRecord.java;10;6;3;2;1.5;1;0;2;82;No
2;src/java/org/apache/avro/specific/SpecificRecordBase.java;54;18;13;12;6.5;1;0;2;82;No
2;src/java/org/apache/avro/specific/SpecificRequestor.java;63;47;36;13;7.2;1;1;5;107;Si
2;src/java/org/apache/avro/specific/SpecificResponder.java;23;4;2;1;1;1;0;2;67;No
2;src/java/org/apache/avro/util/Utf8.java;70;17;12;8;6;1;0;2;82;No
2;src/java/org/apache/avro/ipc/RPCContext.java;127;149;149;149;149;1;0;1;11;No
2;src/java/org/apache/avro/ipc/RPCPlugin.java;53;74;74;74;74;1;0;1;11;No
2;src/test/java/org/apache/avro/RPCMetaTestPlugin.java;152;176;176;176;176;1;0;1;11;No
2;src/test/java/org/apache/avro/TestProtocolGenericMeta.java;26;42;42;42;42;1;0;1;11;No
2;src/test/java/org/apache/avro/TestProtocolReflectMeta.java;29;45;45;45;45;1;0;1;11;No
2;src/test/java/org/apache/avro/TestProtocolSpecificMeta.java;30;46;46;46;46;1;0;1;11;No
2;src/test/java/org/apache/avro/GenerateBlockingData.java;62;85;85;85;85;1;0;1;2;No
2;src/test/java/org/apache/avro/io/TestBlockingIO2.java;141;163;163;163;163;1;0;1;1;No
2;src/test/java/org/apache/avro/BarRecord.java;37;57;55;35;18.33;1;1;3;13;Si
2;src/test/java/org/apache/avro/FooRecord.java;31;49;48;33;24;1;0;2;6;No
2;src/test/java/org/apache/avro/TestDataFileReflect.java;160;190;183;142;61;1;1;3;34;Si
2;src/java/org/apache/avro/io/BinaryData.java;175;370;281;190;93.67;1;0;3;27;No
2;src/test/java/org/apache/avro/TestCompare.java;206;264;243;160;81;1;0;3;27;No
2;src/java/org/apache/avro/generic/GenericContainer.java;9;27;27;27;27;1;0;1;22;No
2;src/java/org/apache/avro/specific/SpecificData.java;53;83;77;67;38.5;1;0;2;26;No
2;src/test/java/org/apache/avro/RandomData.java;122;3;2;2;2;1;0;1;22;No
3;src/java/org/apache/avro/generic/GenericData.java;424;13;13;12;6.5;1;1;2;2;Si
3;src/java/org/apache/avro/ipc/DatagramServer.java;61;79;79;79;79;1;0;1;11;No
3;src/java/org/apache/avro/ipc/DatagramTransceiver.java;67;84;84;84;84;1;0;1;11;No
3;src/java/org/apache/avro/ipc/RPCContext.java;127;36;18;18;18;1;0;1;11;No
3;src/java/org/apache/avro/ipc/RPCPlugin.java;53;8;4;4;4;1;0;1;11;No
3;src/java/org/apache/avro/ipc/Requestor.java;213;21;10;8;5;1;0;2;35;No
3;src/java/org/apache/avro/ipc/Responder.java;191;33;10;8;5;1;0;2;35;No
3;src/java/org/apache/avro/ipc/Server.java;12;29;29;29;29;1;0;1;11;No
3;src/java/org/apache/avro/ipc/SocketServer.java;93;4;2;2;2;1;0;1;11;No
3;src/java/org/apache/avro/ipc/SocketTransceiver.java;79;16;9;9;9;1;0;1;11;No
3;src/test/java/org/apache/avro/RPCMetaTestPlugin.java;152;36;17;17;17;1;0;1;11;No
3;src/test/java/org/apache/avro/TestProtocolDatagram.java;26;42;42;42;42;1;0;1;11;No
3;src/test/java/org/apache/avro/TestProtocolSpecific.java;152;18;13;7;4.33;1;1;3;36;Si
3;src/java/org/apache/avro/io/JsonEncoder.java;221;4;1;1;1;1;1;1;4;Si
3;src/java/org/apache/avro/io/parsing/JsonGrammarGenerator.java;82;3;1;1;1;1;1;1;4;Si
3;src/java/org/apache/avro/io/parsing/Parser.java;146;21;21;21;21;1;1;1;4;Si
3;src/java/org/apache/avro/io/parsing/Symbol.java;362;1;0;0;0;1;1;1;4;Si
3;src/test/java/org/apache/avro/TestSchema.java;279;9;6;6;6;1;1;1;4;Si
3;src/java/org/apache/avro/generic/GenericDatumReader.java;448;7;5;5;5;1;0;1;0;No
3;src/test/java/org/apache/avro/TestDataFileReflect.java;160;64;61;58;30.5;1;1;2;24;Si
3;src/java/org/apache/avro/specific/SpecificCompiler.java;292;326;174;171;58;2;2;3;25;Si
3;src/java/org/apache/avro/Protocol.java;324;17;15;15;15;1;0;1;24;Si
3;src/java/org/apache/avro/Schema.java;741;130;88;88;88;1;0;1;24;Si
3;src/java/org/apache/avro/reflect/ReflectData.java;338;90;70;70;70;1;0;1;24;Si
3;src/java/org/apache/avro/reflect/ReflectDatumReader.java;81;31;7;7;7;1;0;1;24;No
3;src/java/org/apache/avro/reflect/ReflectDatumWriter.java;54;8;8;8;8;1;0;1;24;No
3;src/java/org/apache/avro/reflect/ReflectRequestor.java;94;4;1;1;1;1;0;1;24;No
3;src/java/org/apache/avro/reflect/ReflectResponder.java;82;33;2;2;2;1;0;1;24;No
3;src/java/org/apache/avro/specific/ProtocolTask.java;62;32;3;3;3;1;0;1;24;No
3;src/java/org/apache/avro/specific/SchemaTask.java;11;4;2;2;2;1;0;1;24;No
3;src/java/org/apache/avro/specific/SpecificData.java;77;29;28;28;28;1;0;1;24;No
3;src/java/org/apache/avro/specific/SpecificDatumReader.java;28;12;5;5;5;1;0;1;24;No
3;src/java/org/apache/avro/specific/SpecificDatumWriter.java;22;8;6;6;6;1;0;1;24;No
